date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-05-25,Shot Clock,ella mai,41,86,8,88,,,,,"[u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'uk contemporary r&b', u'urban contemporary']",[u'urban contemporary']
2019-05-25,I'm So Tired...,lauv,93,96,2,89,,,,,[u'pop'],[u'pop']
2019-05-25,You Should See Me In A Crown,billie eilish,76,83,5,92,,,,,"[u'electropop', u'pop']",[u'pop']
2019-05-25,SOS,avicii,99,99,2,94,,,,,"[u'big room', u'edm', u'pop']",[u'pop']
2019-05-25,Wish You Were Gay,billie eilish,NA,,NA,96,,,,,"[u'electropop', u'pop']",[u'pop']
2019-05-25,That's A Rack,lil uzi vert,NA,,NA,97,,,,,"[u'melodic rap', u'philly rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-05-25,Rule The World,2 chainz,NA,,NA,98,,,,,"[u'atl hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-05-25,Die Young,roddy ricch,NA,,NA,99,,,,,"[u'melodic rap', u'rap', u'trap']",[u'trap']
2019-06-01,Girls Like You,maroon 5,31,35,23,35,,,,,"[u'pop', u'pop rock']",[u'pop rock']
2019-06-01,I Think,"tyler, the creator",59,63,16,51,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,Celebrate,dj khaled,14,52,18,52,,,,,"[u'dance pop', u'hip hop', u'miami hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-06-01,Jealous,dj khaled,27,64,7,57,,,,,"[u'dance pop', u'hip hop', u'miami hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-06-01,Running Out Of Time,"tyler, the creator",17,69,5,65,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,Igor's Theme,"tyler, the creator",80,85,2,67,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,New Magic Wand,"tyler, the creator",78,78,5,70,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,A Boy Is A Gun,"tyler, the creator",56,68,14,74,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,What's Good,"tyler, the creator",66,79,10,85,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,What If I Never Get Over You,lady antebellum,17,78,6,86,,,,,"[u'contemporary country', u'country', u'country dawn', u'country pop', u'country road']",[u'country road']
2019-06-01,Puppet,"tyler, the creator",93,-,2,88,,,,,"[u'hip hop', u'rap']",[u'rap']
2019-06-01,Weather The Storm,dj khaled,91,-,3,91,,,,,"[u'dance pop', u'hip hop', u'miami hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-06-01,Here Tonight,brett young,NA,,NA,98,,,,,[u'contemporary country'],[u'contemporary country']
